gameId,summonerName,champion,kills,deaths,assists,teamPosition,win,kda,cs,timePlayed
7762396966,,Aatrox,2,5,6,TOP,False,1.6,151,1498
7790267281,,Shen,11,11,15,TOP,False,2.3636363636363638,137,1884
7788602812,,Twitch,16,3,5,BOTTOM,True,7,231,1710
7785941740,,Darius,5,9,2,TOP,False,0.7777777777777778,176,1898
7790745262,,Yone,3,8,5,JUNGLE,False,1,191,1585
7775877562,,Karma,3,12,13,UTILITY,False,1.3333333333333333,74,2223
7789145285,,Swain,1,10,9,UTILITY,False,1,35,1367
7787959748,,Vi,6,8,7,JUNGLE,False,1.625,152,1721
7787811542,,Zoe,6,8,4,MIDDLE,False,1.25,161,1518
7777836236,,Nidalee,10,4,9,JUNGLE,True,4.75,180,1918
7789711882,,Zed,5,7,10,MIDDLE,True,2.142857142857143,226,1932
7779804558,,Galio,3,9,12,MIDDLE,False,1.6666666666666667,174,1638
7788758053,,Mel,0,0,0,MIDDLE,False,0,0,111
7789529135,,Varus,1,6,0,TOP,False,0.16666666666666666,224,1621
7766477763,,Zed,3,4,5,JUNGLE,True,2,219,1803
7791445182,,Yone,5,4,5,MIDDLE,False,2.5,286,1857
7789870812,,Tristana,8,7,9,BOTTOM,True,2.4285714285714284,147,1403
7788583353,,Pantheon,5,10,6,JUNGLE,False,1.1,155,1898
7776258380,,Jayce,2,3,5,TOP,False,2.3333333333333335,160,1242
7791179355,,TwistedFate,4,11,13,MIDDLE,False,1.5454545454545454,241,2191
7790078505,,Pantheon,4,7,2,JUNGLE,False,0.8571428571428571,164,1519
7791452977,,Karma,2,9,31,UTILITY,True,3.6666666666666665,35,2611
7790762995,,Hecarim,7,6,19,JUNGLE,False,4.333333333333333,235,1817
7791535462,,Pyke,2,5,3,UTILITY,False,1,28,1681
7783855862,,Alistar,2,2,16,UTILITY,True,9,17,1223
7749260683,,Xayah,6,0,9,BOTTOM,True,15,297,1834
7784044936,,Ahri,5,9,10,MIDDLE,False,1.6666666666666667,178,1691
7791786641,,LeeSin,5,5,5,JUNGLE,False,2,104,1387
7781486891,,Orianna,7,10,4,MIDDLE,False,1.1,200,1745
7787159765,,Lulu,4,0,11,UTILITY,True,15,29,1342
7791804717,,Zyra,6,1,21,JUNGLE,True,27,280,2315
7783580120,,Kalista,16,5,4,TOP,True,4,196,1623
7783700397,,Zoe,6,6,3,MIDDLE,False,1.5,260,2007
7742541511,,Kennen,8,1,4,TOP,True,12,142,1108
7779108624,,Jayce,5,11,9,MIDDLE,True,1.2727272727272727,265,2098
7748573730,,Ahri,5,6,4,MIDDLE,False,1.5,160,1626
7791466614,,Rumble,6,7,10,TOP,False,2.2857142857142856,275,2562
7791840857,,Jhin,0,0,0,BOTTOM,False,0,0,104
7786723602,,Ambessa,5,7,2,TOP,False,1,191,1598
7764091094,,Kaisa,11,4,7,BOTTOM,True,4.5,249,1589
7791237342,,Lulu,0,8,17,UTILITY,False,2.125,28,2173
7763503780,,Riven,5,4,5,TOP,False,2.5,191,1721
7784324493,,Thresh,0,7,14,UTILITY,False,2,21,1809
7783174952,,Blitzcrank,0,3,3,UTILITY,False,1,28,1129
7790646752,,Zac,1,6,2,JUNGLE,False,0.5,163,1638
7682210513,,Aatrox,9,3,14,TOP,True,7.666666666666667,215,1989
7789885142,,KSante,1,7,2,TOP,False,0.42857142857142855,217,1691
7701181574,,Zed,5,7,1,JUNGLE,False,0.8571428571428571,152,1304
7791196151,,Urgot,1,7,2,TOP,False,0.42857142857142855,164,1744
7773363315,,Akshan,5,3,4,MIDDLE,False,3,169,1418
7780092600,,Lulu,2,9,22,UTILITY,True,2.6666666666666665,12,2220
7786982295,,Illaoi,2,7,6,TOP,False,1.1428571428571428,199,1703
7761576810,,Jhin,12,7,13,BOTTOM,True,3.5714285714285716,247,2061
7779692774,,Jhin,7,3,11,BOTTOM,True,6,199,1852
7791019319,,Shaco,4,7,17,UTILITY,True,3,40,2064
7773294593,,Poppy,11,3,15,JUNGLE,True,8.666666666666666,173,1810
7787042116,,Sylas,1,6,1,MIDDLE,False,0.3333333333333333,85,922
7790283628,,Thresh,3,10,20,UTILITY,False,2.3,29,1885
7747320423,,Zed,3,1,2,MIDDLE,True,5,155,1141
7791190855,,Gragas,4,2,17,TOP,True,10.5,154,1525
7789138461,,Jayce,12,4,4,TOP,True,4,246,1713
7790479708,,Olaf,3,7,0,TOP,False,0.42857142857142855,113,915
7791401008,,Morgana,1,8,2,JUNGLE,False,0.375,85,912
7789256285,,Talon,20,16,8,MIDDLE,True,1.75,223,2354
7751437129,,Zed,8,10,9,TOP,False,1.7,184,2015
7775420537,,Ekko,13,15,6,JUNGLE,False,1.2666666666666666,226,2245
7791703908,,Zed,5,5,9,MIDDLE,True,2.8,134,1601
7791262266,,Swain,3,8,9,UTILITY,False,1.5,75,1982
7761706103,,Kennen,13,7,7,TOP,False,2.857142857142857,221,1947
7766670301,,Skarner,8,9,5,JUNGLE,False,1.4444444444444444,156,1761
7791603426,,Kaisa,2,6,1,BOTTOM,False,0.5,96,914
7787426506,,Aphelios,14,3,4,BOTTOM,True,6,194,1484
7762994092,,Smolder,3,9,6,BOTTOM,False,1,215,1775
7782975204,,Nami,1,3,19,UTILITY,False,6.666666666666667,27,2377
7770315347,,Yunara,11,9,9,BOTTOM,False,2.2222222222222223,358,2540
7786145386,,KSante,1,8,4,TOP,False,0.625,190,2104
7790149041,,Viego,6,5,5,TOP,False,2.2,201,1709
7769529687,,Lulu,1,4,16,UTILITY,True,4.25,19,1775
7750912387,,Fiora,2,6,2,TOP,False,0.6666666666666666,156,1417
7781792099,,Kayn,4,7,9,TOP,True,1.8571428571428572,165,1701
